id,wd_id,wp_id,slug,name,occupation,prob_ratio,gender,twitter,alive,l,hpi_raw,bplace_name,bplace_lat,bplace_lon,bplace_geonameid,bplace_country,birthdate,birthyear,dplace_name,dplace_lat,dplace_lon,dplace_geonameid,dplace_country,deathdate,deathyear,bplace_geacron_name,dplace_geacron_name,is_group,l_,age,non_en_page_views,coefficient_of_variation,hpi
6844407,Q83287,6844407,Selena_Gomez,Selena Gomez,SINGER,0.0,F,selenagomez,True,127,23,"Grand Prairie, Texas",32.71527778,-97.01694444,151157.0,United States,1992-07-22,1992.0,,,,,,,,,,False,8.463941638470681,28.0,2431657.0,5.64905945417775,67.47426790620638
25276055,Q151892,25276055,Ariana_Grande,Ariana Grande,SINGER,19.4841273897908,F,ArianaGrande,True,95,23,"Boca Raton, Florida",26.36861111,-80.1,44745.0,United States,1993-06-26,1993.0,,,,,,,,,,False,8.474179243722672,27.0,3511224.0,4.925454152892765,66.91671688795992
42249836,Q16843706,42249836,Gigi_Hadid,Gigi Hadid,MODEL,2.6300482237146547,F,GiGiHadid,True,46,23,Los Angeles,34.05,-118.25,18110.0,United States,1995-04-23,1995.0,,,,,,,,United States,,False,15.452170611786082,25.0,1866468.0,1.6557700959030777,66.67805090938359
8135890,Q4235,8135890,Miley_Cyrus,Miley Cyrus,SINGER,0.0,F,MileyCyrus,True,106,22,"Franklin, Tennessee",35.92916667,-86.8575,135422.0,United States,1992-11-23,1992.0,,,,,,,,United States,,False,6.5829872251010375,28.0,1926986.0,5.808355495699799,64.68722551381765
53785363,Q29564107,53785363,Billie_Eilish,Billie Eilish,SINGER,1.5795150005616516,F,BillieEilish,True,74,22,Los Angeles,34.05,-118.25,18110.0,United States,2001-12-18,2001.0,,,,,,,,United States,,False,8.377544204673212,19.0,6886958.0,4.044161673379927,64.67326327720437
46252498,Q18534249,46252498,Halsey_(singer),Halsey,SINGER,6.089021687659668,F,halseymusic,True,44,21,"Edison, New Jersey",40.5274,-74.3933,125414.0,United States,1994-09-29,1994.0,,,,,,,,,,False,13.141217635761322,26.0,965320.0,1.8601945135104383,64.11210163126057
21881809,Q1770624,21881809,Kylie_Jenner,Kylie Jenner,MODEL,3.015819152264557,F,kyliejenner,True,55,21,Los Angeles,34.05,-118.25,18110.0,United States,1997-08-10,1997.0,,,,,,,,United States,,False,8.352560779859301,23.0,3824743.0,3.5040579527210887,63.66606364488966
6162301,Q115541,6162301,Dakota_Fanning,Dakota Fanning,ACTOR,0.0,F,itsdakotafannin,True,71,20,"Conyers, Georgia",33.66638889,-84.0075,110327.0,United States,1994-02-23,1994.0,,,,,,,,United States,,False,5.843745762881518,26.0,1666964.0,4.678682291468892,61.53510658489497
12520860,Q41173,12520860,Demi_Lovato,Demi Lovato,SINGER,0.0,F,ddlovato,True,108,20,"Albuquerque, New Mexico",35.11083333,-106.61,51278.0,United States,1992-08-20,1992.0,,,,,,,,United States,,False,4.141147562680942,28.0,1227692.0,7.119210981271523,60.86079208108952
1434568,Q228598,1434568,Emma_Roberts,Emma Roberts,ACTOR,0.0,F,RobertsEmma,True,61,20,"Rhinebeck (village), New York",41.9275,-73.90888889,259761.0,United States,1991-02-10,1991.0,,,,,,,,United States,,False,5.128065104261483,29.0,1295016.0,4.556376036987432,60.69961668835375
